"LocationID","Zone","Borough","NTA_Code","NTA_Name"
1,"Newark Airport","EWR",NA,NA
2,"Jamaica Bay","Queens","QN8491","Jamaica Bay (East)"
3,"Allerton/Pelham Gardens","Bronx","BX1103","Pelham Gardens"
4,"Alphabet City","Manhattan","MN0303","East Village"
5,"Arden Heights","Staten Island","SI0303","Arden Heights-Rossville"
6,"Arrochar/Fort Wadsworth","Staten Island","SI0201","Grasmere-Arrochar-South Beach-Dongan Hills"
7,"Astoria","Queens","QN0104","Astoria (East)-Woodside (North)"
8,"Astoria Park","Queens","QN0191","Astoria Park"
9,"Auburndale","Queens","QN1101","Auburndale"
10,"Baisley Park","Queens","QN1203","Baisley Park"
11,"Bath Beach","Brooklyn","BK1102","Bath Beach"
12,"Battery Park","Manhattan","MN0191","The Battery-Governors Island-Ellis Island-Liberty Island"
13,"Battery Park City","Manhattan","MN0101","Financial District-Battery Park City"
14,"Bay Ridge","Brooklyn","BK1001","Bay Ridge"
15,"Bay Terrace/Fort Totten","Queens","QN0703","Bay Terrace-Clearview"
16,"Bayside","Queens","QN1102","Bayside"
17,"Bedford","Brooklyn","BK0301","Bedford-Stuyvesant (West)"
18,"Bedford Park","Bronx","BX0702","Bedford Park"
19,"Bellerose","Queens","QN1302","Bellerose"
20,"Belmont","Bronx","BX0603","Belmont"
21,"Bensonhurst East","Brooklyn","BK1103","Gravesend (West)"
22,"Bensonhurst West","Brooklyn","BK1101","Bensonhurst"
23,"Bloomfield/Emerson Hill","Staten Island","SI0204","New Springville-Willowbrook-Bulls Head-Travis"
24,"Bloomingdale","Manhattan","MN0703","Upper West Side-Manhattan Valley"
25,"Boerum Hill","Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill"
26,"Borough Park","Brooklyn","BK1202","Borough Park"
27,"Breezy Point/Fort Tilden/Riis Beach","Queens","QN8492","Jacob Riis Park-Fort Tilden-Breezy Point Tip"
28,"Briarwood/Jamaica Hills","Queens","QN0805","Jamaica Hills-Briarwood"
29,"Brighton Beach","Brooklyn","BK1303","Brighton Beach"
30,"Broad Channel","Queens","QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
31,"Bronx Park","Bronx","BX2791","Bronx Park"
32,"Bronxdale","Bronx","BX1104","Allerton"
33,"Brooklyn Heights","Brooklyn","BK0201","Brooklyn Heights"
34,"Brooklyn Navy Yard","Brooklyn","BK0261","Brooklyn Navy Yard"
35,"Brownsville","Brooklyn","BK1602","Brownsville"
36,"Bushwick North","Brooklyn","BK0401","Bushwick (West)"
37,"Bushwick South","Brooklyn","BK0402","Bushwick (East)"
38,"Cambria Heights","Queens","QN1304","Cambria Heights"
39,"Canarsie","Brooklyn","BK1803","Canarsie"
40,"Carroll Gardens","Brooklyn","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
41,"Central Harlem","Manhattan","MN1001","Harlem (South)"
42,"Central Harlem North","Manhattan","MN1002","Harlem (North)"
43,"Central Park","Manhattan","MN6491","Central Park"
44,"Charleston/Tottenville","Staten Island","SI0305","Tottenville-Charleston"
45,"Chinatown","Manhattan","MN0301","Chinatown-Two Bridges"
46,"City Island","Bronx","BX1003","Pelham Bay-Country Club-City Island"
47,"Claremont/Bathgate","Bronx","BX0302","Claremont Village-Claremont (East)"
48,"Clinton East","Manhattan","MN0402","Hell's Kitchen"
49,"Clinton Hill","Brooklyn","BK0204","Clinton Hill"
50,"Clinton West","Manhattan","MN0402","Hell's Kitchen"
51,"Co-Op City","Bronx","BX1004","Co-op City"
52,"Cobble Hill","Brooklyn","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
53,"College Point","Queens","QN0701","College Point"
54,"Columbia Street","Brooklyn","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
55,"Coney Island","Brooklyn","BK1302","Coney Island-Sea Gate"
56,"Corona","Queens","QN0402","Corona"
57,"Corona","Queens","QN0402","Corona"
58,"Country Club","Bronx","BX1003","Pelham Bay-Country Club-City Island"
59,"Crotona Park","Bronx","BX0391","Crotona Park"
60,"Crotona Park East","Bronx","BX0303","Crotona Park East"
61,"Crown Heights North","Brooklyn","BK0802","Crown Heights (North)"
62,"Crown Heights South","Brooklyn","BK0901","Crown Heights (South)"
63,"Cypress Hills","Brooklyn","BK0501","Cypress Hills"
64,"Douglaston","Queens","QN1103","Douglaston-Little Neck"
65,"Downtown Brooklyn/MetroTech","Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill"
66,"DUMBO/Vinegar Hill","Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill"
67,"Dyker Heights","Brooklyn","BK1002","Dyker Heights"
68,"East Chelsea","Manhattan","MN0401","Chelsea-Hudson Yards"
69,"East Concourse/Concourse Village","Bronx","BX0401","Concourse-Concourse Village"
70,"East Elmhurst","Queens","QN0302","East Elmhurst"
71,"East Flatbush/Farragut","Brooklyn","BK1702","East Flatbush-Farragut"
72,"East Flatbush/Remsen Village","Brooklyn","BK1704","East Flatbush-Remsen Village"
73,"East Flushing","Queens","QN0705","East Flushing"
74,"East Harlem North","Manhattan","MN1102","East Harlem (North)"
75,"East Harlem South","Manhattan","MN1101","East Harlem (South)"
76,"East New York","Brooklyn","BK0503","East New York-New Lots"
77,"East New York/Pennsylvania Avenue","Brooklyn","BK0503","East New York-New Lots"
78,"East Tremont","Bronx","BX0602","Tremont"
79,"East Village","Manhattan","MN0303","East Village"
80,"East Williamsburg","Brooklyn","BK0104","East Williamsburg"
81,"Eastchester","Bronx","BX1202","Eastchester-Edenwald-Baychester"
82,"Elmhurst","Queens","QN0401","Elmhurst"
83,"Elmhurst/Maspeth","Queens","QN0203","Woodside"
84,"Eltingville/Annadale/Prince's Bay","Staten Island","SI0304","Annadale-Huguenot-Prince's Bay-Woodrow"
85,"Erasmus","Brooklyn","BK1701","East Flatbush-Erasmus"
86,"Far Rockaway","Queens","QN1401","Far Rockaway-Bayswater"
87,"Financial District North","Manhattan","MN0101","Financial District-Battery Park City"
88,"Financial District South","Manhattan","MN0101","Financial District-Battery Park City"
89,"Flatbush/Ditmas Park","Brooklyn","BK1402","Flatbush (West)-Ditmas Park-Parkville"
90,"Flatiron","Manhattan","MN0401","Chelsea-Hudson Yards"
91,"Flatlands","Brooklyn","BK1801","Flatlands"
92,"Flushing","Queens","QN0707","Flushing-Willets Point"
93,"Flushing Meadows-Corona Park","Queens","QN8191","Flushing Meadows-Corona Park"
94,"Fordham South","Bronx","BX0503","Fordham Heights"
95,"Forest Hills","Queens","QN0602","Forest Hills"
96,"Forest Park/Highland Park","Queens","QN0574","Highland Park-Cypress Hills Cemeteries (North)"
97,"Fort Greene","Brooklyn","BK0203","Fort Greene"
98,"Fresh Meadows","Queens","QN0803","Fresh Meadows-Utopia"
99,"Freshkills Park","Staten Island","SI0291","Freshkills Park (North)"
